Comment,Designator,Quantity,Footprint,Mfr Part #,LCSC Part #
1K,RB,1,805,0805W8F1001T5E,C17513
1N5819,DB,1,SOD-323,1N5819WS,C369937
1uF,CBA CBB CC CH CM1 CO1 CO2 CU,8,805,CL21B105KBFNNNE,C28323
2N7002,TB,1,SOT323,K2N7002W-7-F,C2891696
10K,R1A R1B R2A R2B R3A R3B R4A R4B RPD RR,10,805,0805W8F1002T5E,C17414
10nF,CZ1 CZ2 CZ3 CZ4,4,805,CL21B103KBANNNC,C1710
16MHz,X,1,SMD_5032,X503216MSB2GI,C112572
20K,RDA RDB,2,805,0805W8F2002T5E,C4328
22,RUM RUP,2,805,0805W8F220JT5E,C17561
22pF,CX1 CX2,2,805,CL21C220JBANNNC,C1804
22uH,LB,1,805,CB2012T220K,C223175
24V,Z1 Z2 Z3 Z4 ZBF ZBR,6,SOD-323,MM3Z24,C118615
50K,RZ1 RZ2 RZ3 RZ4,4,805,0805W8F5102T5E,C17737
100nF,CA CM2,2,805,CL21B104KBCNNNC,C1711
500mA,F,1,805,BSMD0805-020-30V,C883105
ATMEGA32U4,MCU,1,TQFP44,ATMEGA32U4-AU,C44854
C40957,USB,1,U254-051N-4BH806,U254-051N-4BH806,C319170
TLV3202,CMP,1,SOIC8,TLV3202AIDR,C129325
TLV9064IDR,OA1 OA2,2,SOIC127P600X175-14N,TLV9064IDR,C388176
